date,text,stars,sentiment,confidence
2023-05-18,Unique flavor and great energy boost. It's the perfect gamer's drink!,,POSITIVE,1.0
2023-05-17,Good flavor and keeps me energized. The bottle design is really fun.,,POSITIVE,1.0
2023-05-16,Excellent energy drink for gamers. The tropical flavor is refreshing.,,POSITIVE,1.0
2023-05-15,"It’s fun, tastes good, and the energy boost is helpful during intense gaming sessions.",,POSITIVE,1.0
2023-05-15,"The best sneakers I've bought in a long time. Stylish, comfortable and the leather quality is top-notch.",,POSITIVE,1.0
2023-05-12,The cherry cola flavor is a win. Keeps me energized and focused.,,POSITIVE,1.0
2023-05-10,These shoes are a hit with my twins. They love the lights and they seem to be quite durable.,,POSITIVE,1.0
2023-05-01,Excellent boots for outdoor adventures. They offer great support and are very comfortable.,,POSITIVE,1.0
2023-05-01,"Nice design and good quality, but a bit too tight for me. Otherwise, it's a pretty cool beanie.",,POSITIVE,0.998
2023-04-25,Really enjoyed the citrus flavor and the energy boost it gives.,,POSITIVE,1.0
2023-04-25,"Great concept, but the sizing is a bit off. Order a size larger.",,NEGATIVE,0.994
2023-04-18,"Delicious chocolates, and the box is pretty substantial. It'd make a nice gift.",,POSITIVE,1.0
2023-04-12,"The boots are durable, but the laces could be better quality.",,POSITIVE,0.814
2023-04-11,This potion is a game changer. Love the energy boost and the flavor.,,POSITIVE,1.0
2023-04-10,"Light, comfortable, and nice design. I'm buying another pair.",,POSITIVE,1.0
2023-04-10,Highly recommend! These shoes are great for evening walks. Kids love them!,,POSITIVE,1.0
2023-04-09,It's like a health potion for gamers! The energy boost is spot on.,,POSITIVE,0.999
2023-04-07,Really helps me focus during intense gaming marathons. The teal color is a nice touch.,,POSITIVE,1.0
2023-04-07,The shoes are nice but they didn't fit me well. I had to exchange for a larger size.,,NEGATIVE,0.998
2023-04-05,"Great taste, and the energy kick is awesome. Feels just like a strength potion.",,POSITIVE,1.0
2023-04-05,Exceptional beanie! I wear it every time I go out in cold weather. The material is comfortable and durable. Highly recommend it.,,POSITIVE,1.0
2023-04-01,Great taste and doesn't give me a crash afterwards.,,POSITIVE,0.994
2023-03-25,"Good quality and fit, but the color is a bit off from the picture. Still, they're pretty.",,POSITIVE,0.995
2023-03-25,"The beanie is cute, but the cat ears were a bit floppy. Overall, I like it and wear it regularly.",,POSITIVE,0.976
2023-03-24,"Good quality and comfortable, but a bit pricey.",,POSITIVE,1.0
2023-03-20,"The orange flavor wasn't my favorite, but the cherry ones are great.",,POSITIVE,1.0
2023-03-20,"Not only does it look cool, but it tastes great and gives a good energy boost!",,POSITIVE,1.0
2023-03-15,Just what I need for long gaming sessions. Great flavor and energy boost.,,POSITIVE,1.0
2023-03-14,"Definitely helped me stay focused during my long gaming nights. Plus, the bottle design is pretty cool.",,POSITIVE,1.0
2023-03-14,"I love how it gives me the energy I need for my gaming sessions. Plus, no sugar crash.",,POSITIVE,1.0
2023-03-10,"Finally, an energy drink for gamers! It's just like a mana potion.",,NEGATIVE,0.831
2023-03-10,"I'm not really a cat person, but I like the quality and comfort of this beanie. My friend recommended it, and I'm glad I bought it.",,POSITIVE,1.0
2023-03-05,"They're a good pair of running shoes for the price. They're not the best I've had, but they do the job.",,POSITIVE,0.999
2023-03-05,"The sneakers are fun and eye-catching, but my pair arrived with one shoe not lighting up.",,NEGATIVE,0.998
2023-03-01,Very comfortable and the leather feels premium. Would recommend to anyone looking for classic sneakers.,,POSITIVE,0.999
2023-02-25,"Great sneakers, but the white ones get dirty easily. Otherwise, they're perfect.",,POSITIVE,0.999
2023-02-22,"Love these boots. They're rugged and comfortable, perfect for outdoor activities.",,POSITIVE,1.0
2023-02-20,Perfect for long gaming nights. Love the taste and the cool bottle design.,,POSITIVE,1.0
2023-02-20,"Comfortable, good fit, and the grip is excellent. Happy with my purchase.",,POSITIVE,1.0
2023-02-20,Good quality and the lights are a nice touch. My kid wears them all the time.,,POSITIVE,1.0
2023-02-18,"The tropical flavor is really good, and the energy kick is powerful.",,POSITIVE,1.0
2023-02-17,Stunning and comfortable. I wore them to a wedding and got so many compliments.,,POSITIVE,1.0
2023-02-15,"The box is nicely packaged, making it a great gift option.",,POSITIVE,1.0
2023-02-15,It's quite nice but a little snug on my head. Maybe it's just my head size. But I love the design!,,POSITIVE,1.0
2023-02-12,The cherry cola flavor is very appealing. Provides a good energy boost for gaming!,,POSITIVE,1.0
2023-02-12,The mint and citrus blend is very refreshing. And the bottle design is great too!,,POSITIVE,1.0
2023-02-10,The berry flavor is intense and delicious. Great for keeping me focused during my gaming sessions.,,POSITIVE,1.0
2023-01-24,These chocolates are so tasty! Love the variety of flavors.,,POSITIVE,1.0
2023-01-23,"Nice sandals, but they run a bit small. I recommend ordering a size up.",,POSITIVE,0.991
2023-01-15,The design is just epic! And the energy boost is real.,,POSITIVE,1.0
2023-01-15,Really like the design and they're great for running. They're also easy to clean.,,POSITIVE,1.0
2023-01-15,These sneakers are worth every penny! They're durable and my kid loves them!,,POSITIVE,1.0
2023-01-13,"These are decent boots for hiking, but they took a while to break in.",,NEGATIVE,0.988
2023-01-10,"Impressive build quality and comfort. However, I wish they were a bit cheaper.",,POSITIVE,0.995
2023-01-10,A must-have for cat lovers. It's adorable and keeps me warm during chilly weather.,,POSITIVE,1.0
